Month ,"Container Traffic
 (Tonnage)"
01-01-1995,8000
01-01-1996,9582
01-01-1997,11476
01-01-1998,13745
01-01-1999,16462
01-01-2000,19717
01-01-2001,20000
01-01-2002,37000
01-01-2003,86000
01-01-2004,96000
01-01-2005,136000
01-01-2006,149000
01-01-2007,265000
01-01-2008,319000
01-01-2009,404000
01-01-2010,475000
01-01-2011,568000
01-01-2012,645000
01-01-2013,692000
01-01-2014,747000
01-01-2015,921000
01-01-2016,1105000
01-01-2017,1411000
01-01-2018,1743000
01-01-2019,1920000
01-01-2020,2277000
